CORUMBA (A724);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2009;0100;24,5;24,5;24,1;88,0;91,0;88,0;22,4;22,6;22,3;997,0;997,3;996,9;2,9;130,0;5,4;;0,0;
01/01/2009;0200;24,9;24,9;24,3;85,0;89,0;85,0;22,3;22,5;22,3;997,0;997,3;997,0;3,3;152,0;5,5;;0,0;
01/01/2009;0300;24,8;25,3;24,6;84,0;86,0;80,0;21,8;22,3;21,6;996,9;997,0;996,7;3,0;106,0;5,4;;0,0;
01/01/2009;0400;24,0;24,8;24,0;91,0;92,0;84,0;22,5;22,8;21,7;997,3;997,3;996,8;2,8;98,0;4,7;;0,0;
01/01/2009;0500;23,8;24,1;23,7;91,0;92,0;89,0;22,3;22,5;22,1;997,0;997,4;997,0;2,0;123,0;4,7;;0,0;
01/01/2009;0600;23,4;24,3;23,4;91,0;91,0;86,0;21,9;22,3;21,7;996,4;997,0;996,3;2,9;86,0;6,6;;0,0;
01/01/2009;0700;23,4;23,7;23,3;92,0;92,0;90,0;22,2;22,3;21,9;996,2;996,4;996,1;2,5;90,0;5,6;;0,0;
01/01/2009;0800;23,5;23,7;23,2;88,0;93,0;87,0;21,5;22,2;21,3;996,3;996,4;996,1;1,9;113,0;5,3;;0,0;
01/01/2009;0900;23,5;23,7;23,4;88,0;91,0;88,0;21,4;22,0;21,3;996,6;996,7;996,2;3,0;108,0;5,7;;0,0;
01/01/2009;1000;23,6;23,6;23,4;89,0;90,0;87,0;21,6;21,6;21,3;997,8;997,8;996,6;2,8;129,0;4,7;28,44;0,0;
01/01/2009;1100;24,5;24,5;23,6;84,0;89,0;84,0;21,6;21,7;21,5;998,4;998,4;997,8;3,3;131,0;6,0;284,11;0,0;
01/01/2009;1200;26,0;26,2;24,5;76,0;84,0;74,0;21,4;21,9;20,8;998,7;998,8;998,4;2,9;104,0;6,5;920,91;0,0;
01/01/2009;1300;27,1;27,3;25,8;76,0;78,0;75,0;22,6;22,7;21,4;999,0;999,0;998,7;1,8;81,0;4,9;1267,65;0,0;
01/01/2009;1400;27,7;28,6;26,9;75,0;78,0;71,0;23,0;23,6;22,2;999,2;999,2;999,0;1,9;85,0;4,1;2095,92;0,0;
01/01/2009;1500;28,2;28,2;26,6;82,0;87,0;75,0;24,8;24,9;22,7;998,4;999,2;998,4;2,2;103,0;4,0;1621,43;0,0;
01/01/2009;1600;30,1;30,3;27,9;72,0;82,0;71,0;24,6;25,4;23,6;997,4;998,4;997,4;2,7;97,0;5,2;3695,94;0,0;
01/01/2009;1700;26,6;31,4;25,9;72,0;75,0;66,0;21,2;25,6;20,6;997,2;997,6;997,2;2,8;236,0;7,6;2245,70;0,0;
01/01/2009;1800;28,4;28,4;26,6;69,0;73,0;67,0;22,2;22,3;21,0;996,3;997,3;996,3;1,1;243,0;5,6;446,43;0,0;
01/01/2009;1900;27,2;28,4;26,8;81,0;82,0;68,0;23,7;23,8;21,6;995,4;996,3;995,4;0,8;252,0;3,8;506,50;0,0;
01/01/2009;2000;27,6;27,6;27,1;80,0;83,0;78,0;23,8;24,3;23,3;994,3;995,4;994,2;0,6;11,0;3,4;532,79;0,0;
01/01/2009;2100;28,2;28,2;27,5;79,0;82,0;78,0;24,1;24,3;23,7;993,8;994,5;993,8;1,1;168,0;2,6;470,67;0,0;
01/01/2009;2200;27,8;28,2;27,7;81,0;82,0;78,0;24,3;24,6;24,1;993,5;993,8;993,4;0,1;149,0;2,1;168,47;0,0;
01/01/2009;2300;27,3;27,8;27,2;81,0;83,0;81,0;23,8;24,3;23,8;993,9;993,9;993,3;1,5;142,0;3,6;11,93;0,0;
02/01/2009;0000;27,6;27,6;27,2;79,0;81,0;79,0;23,6;23,8;23,5;994,4;994,4;993,9;1,0;122,0;2,8;;0,0;
02/01/2009;0100;27,5;27,8;27,5;82,0;82,0;79,0;24,1;24,1;23,6;994,9;994,9;994,4;1,5;126,0;2,9;;0,0;
02/01/2009;0200;27,3;27,6;27,2;82,0;82,0;81,0;23,9;24,2;23,9;995,7;995,7;994,9;2,1;129,0;3,7;;0,0;
02/01/2009;0300;26,8;27,3;26,8;85,0;85,0;81,0;24,0;24,1;23,7;995,4;995,7;995,4;2,4;105,0;4,7;;0,0;
02/01/2009;0400;26,7;26,8;26,4;85,0;86,0;84,0;24,0;24,1;23,8;994,7;995,4;994,7;1,9;126,0;3,8;;0,0;
02/01/2009;0500;26,6;27,1;26,6;87,0;87,0;84,0;24,3;24,3;24,0;994,8;994,8;994,6;1,6;90,0;3,6;;0,0;
02/01/2009;0600;26,6;26,6;26,1;86,0;90,0;86,0;24,0;24,4;24,0;994,2;994,8;994,2;2,2;110,0;3,4;;0,0;
02/01/2009;0700;26,1;26,7;26,1;88,0;88,0;85,0;24,0;24,1;23,9;994,0;994,2;993,9;1,7;130,0;3,3;;0,0;
02/01/2009;0800;26,0;26,5;25,9;89,0;89,0;88,0;24,1;24,3;24,0;993,6;994,0;993,6;1,4;125,0;3,4;;0,0;
02/01/2009;0900;26,1;26,1;25,7;90,0;91,0;89,0;24,3;24,3;24,0;994,0;994,0;993,6;1,4;127,0;4,1;;0,0;
02/01/2009;1000;26,5;26,5;26,1;88,0;90,0;88,0;24,4;24,4;24,1;994,8;994,8;994,0;1,2;91,0;2,5;67,91;0,0;
02/01/2009;1100;27,0;27,1;26,5;86,0;88,0;86,0;24,5;24,7;24,3;995,6;995,6;994,8;0,8;69,0;2,8;359,55;0,0;
02/01/2009;1200;28,1;28,3;27,0;80,0;86,0;77,0;24,3;24,9;23,5;995,9;996,0;995,6;0,5;4,0;2,0;898,18;0,0;
02/01/2009;1300;28,5;28,5;27,9;78,0;80,0;77,0;24,2;24,4;23,6;995,9;995,9;995,8;0,6;5,0;2,6;842,87;0,0;
02/01/2009;1400;30,9;31,1;28,4;66,0;78,0;66,0;23,9;24,6;23,4;995,9;996,0;995,9;1,5;317,0;3,0;1946,32;0,0;
02/01/2009;1500;32,2;33,1;30,4;60,0;69,0;57,0;23,5;25,0;23,0;995,3;995,9;995,3;2,1;332,0;4,4;2792,09;0,0;
02/01/2009;1600;33,8;34,1;32,3;55,0;63,0;54,0;23,4;25,2;22,9;994,4;995,3;994,4;2,4;308,0;6,0;2888,43;0,0;
02/01/2009;1700;35,3;35,3;33,6;50,0;57,0;50,0;23,4;24,5;22,7;993,2;994,4;993,2;2,7;330,0;6,4;3023,65;0,0;
02/01/2009;1800;35,3;36,4;34,1;46,0;53,0;43,0;21,9;24,0;21,6;992,0;993,2;992,0;3,5;319,0;8,9;3275,37;0,0;
02/01/2009;1900;35,9;36,4;34,2;45,0;50,0;44,0;22,3;23,3;21,6;990,9;992,0;990,8;2,6;315,0;8,9;2824,27;0,0;
02/01/2009;2000;36,1;36,5;34,8;41,0;47,0;40,0;20,6;22,6;20,3;990,2;990,9;990,2;3,1;313,0;7,8;2104,49;0,0;
02/01/2009;2100;35,6;36,3;35,2;45,0;47,0;40,0;21,9;22,5;20,2;990,2;990,3;989,9;2,6;326,0;7,7;1621,17;0,0;
02/01/2009;2200;30,1;35,6;30,1;61,0;61,0;45,0;21,7;22,2;20,7;990,3;990,3;989,9;2,5;331,0;11,6;488,44;0,0;
02/01/2009;2300;27,5;30,1;27,5;70,0;70,0;61,0;21,5;22,4;21,4;991,0;991,3;990,3;2,8;74,0;5,9;30,20;0,0;
03/01/2009;0000;26,5;27,5;26,5;75,0;75,0;70,0;21,8;21,9;21,5;991,6;991,6;990,9;1,8;105,0;5,9;;0,0;
03/01/2009;0100;26,3;26,6;26,2;75,0;76,0;74,0;21,5;21,8;21,4;991,8;991,8;991,5;0,6;140,0;3,3;;0,0;
03/01/2009;0200;26,4;27,0;26,3;75,0;75,0;71,0;21,6;21,6;21,2;992,6;992,8;991,8;1,9;80,0;3,4;;0,0;
03/01/2009;0300;26,7;26,8;26,3;74,0;76,0;73,0;21,6;21,7;21,5;992,8;992,8;992,6;1,3;124,0;3,2;;0,0;
03/01/2009;0400;24,5;27,7;24,5;89,0;89,0;69,0;22,6;22,8;21,6;994,4;994,6;992,8;3,0;214,0;13,5;1,06;0,0;
03/01/2009;0500;24,9;25,1;24,4;86,0;90,0;85,0;22,4;22,8;22,3;994,0;994,4;993,9;2,4;240,0;7,1;;0,0;
03/01/2009;0600;24,2;25,0;24,2;92,0;92,0;86,0;22,8;22,8;22,4;994,2;994,3;993,9;2,2;276,0;7,2;;0,0;
03/01/2009;0700;24,1;24,3;24,0;93,0;93,0;92,0;22,9;23,1;22,7;993,4;994,2;993,3;1,9;275,0;5,0;;0,0;
03/01/2009;0800;24,0;24,3;24,0;92,0;93,0;90,0;22,6;23,0;22,4;993,6;993,6;993,2;3,2;269,0;6,1;;0,0;
03/01/2009;0900;23,8;24,1;23,8;89,0;92,0;89,0;21,8;22,7;21,8;994,7;994,7;993,6;5,7;271,0;10,5;;0,0;
03/01/2009;1000;23,4;23,8;23,4;91,0;91,0;88,0;21,9;22,0;21,6;995,3;995,3;994,7;2,7;270,0;10,9;28,60;0,0;
03/01/2009;1100;23,3;23,4;23,2;89,0;92,0;89,0;21,3;22,0;21,3;995,9;995,9;995,3;3,9;257,0;7,8;158,78;0,0;
03/01/2009;1200;23,5;23,5;23,2;88,0;90,0;88,0;21,4;21,6;21,3;996,4;996,5;995,9;3,4;243,0;7,9;472,00;0,0;
03/01/2009;1300;22,9;23,8;22,9;89,0;90,0;86,0;21,0;21,6;20,8;996,7;996,7;996,4;3,9;221,0;9,9;673,06;0,0;
03/01/2009;1400;23,9;23,9;22,6;81,0;89,0;81,0;20,5;21,1;19,8;996,6;996,9;996,5;3,8;222,0;12,0;1145,40;0,0;
03/01/2009;1500;22,9;24,6;22,9;83,0;83,0;77,0;19,8;20,7;19,7;997,5;997,6;996,6;4,9;232,0;11,8;1512,46;0,0;
03/01/2009;1600;22,8;23,1;22,6;83,0;88,0;83,0;19,8;20,8;19,6;997,6;997,6;997,5;4,1;220,0;10,8;920,52;0,0;
03/01/2009;1700;23,0;23,4;22,5;79,0;83,0;79,0;19,2;20,0;19,1;997,3;997,6;997,3;3,6;213,0;10,5;1047,74;0,0;
03/01/2009;1800;22,5;23,7;21,9;82,0;85,0;77,0;19,2;20,1;18,8;996,7;997,4;996,7;4,4;214,0;12,2;1556,38;0,0;
03/01/2009;1900;22,6;23,4;22,5;80,0;82,0;77,0;19,0;19,6;18,8;996,3;996,8;996,3;4,1;227,0;13,1;1355,30;0,0;
03/01/2009;2000;23,4;23,9;22,6;77,0;81,0;75,0;19,1;19,5;18,9;995,8;996,3;995,7;3,8;230,0;9,7;957,29;0,0;
03/01/2009;2100;23,4;23,6;23,3;76,0;77,0;75,0;18,8;19,2;18,8;996,2;996,3;995,8;3,0;228,0;9,2;620,38;0,0;
03/01/2009;2200;23,2;23,4;23,2;80,0;80,0;76,0;19,4;19,5;18,8;996,4;996,5;996,2;2,2;248,0;7,2;177,86;0,0;
03/01/2009;2300;22,8;23,2;22,8;84,0;84,0;80,0;20,0;20,0;19,5;997,3;997,3;996,4;2,0;257,0;4,2;7,64;0,0;
04/01/2009;0000;22,6;22,8;22,6;85,0;85,0;83,0;19,9;20,0;19,9;997,8;997,9;997,3;1,9;255,0;3,5;;0,0;
04/01/2009;0100;22,5;22,6;22,5;84,0;85,0;84,0;19,8;19,9;19,8;997,9;998,0;997,8;1,5;238,0;3,3;;0,0;
04/01/2009;0200;22,5;22,5;22,5;86,0;86,0;84,0;19,9;19,9;19,8;998,3;998,3;997,9;2,1;249,0;3,9;;0,0;
04/01/2009;0300;22,1;22,5;22,1;89,0;89,0;85,0;20,2;20,2;19,9;998,4;998,4;998,3;2,7;266,0;4,6;;0,0;
04/01/2009;0400;21,9;22,1;21,6;90,0;92,0;89,0;20,3;20,4;20,2;998,0;998,4;998,0;2,3;256,0;5,0;;0,0;
04/01/2009;0500;21,9;22,0;21,8;87,0;91,0;87,0;19,7;20,3;19,7;997,2;998,0;997,2;3,1;242,0;5,3;;0,0;
04/01/2009;0600;22,2;22,2;21,8;85,0;88,0;85,0;19,6;19,8;19,6;997,1;997,3;997,1;1,5;241,0;5,2;;0,0;
04/01/2009;0700;21,5;22,3;21,5;90,0;90,0;84,0;19,8;19,8;19,5;997,3;997,3;997,1;2,4;271,0;4,8;;0,0;
04/01/2009;0800;22,1;22,1;21,5;84,0;90,0;84,0;19,3;19,9;19,3;997,5;997,5;997,2;1,6;195,0;3,8;;0,0;
04/01/2009;0900;22,0;22,2;21,9;82,0;84,0;82,0;18,8;19,3;18,8;998,0;998,0;997,5;2,7;202,0;5,5;;0,0;
04/01/2009;1000;21,8;22,1;21,8;80,0;82,0;80,0;18,3;18,8;18,2;998,8;998,8;998,0;3,2;211,0;8,7;43,88;0,0;
04/01/2009;1100;22,6;22,7;21,9;69,0;78,0;68,0;16,6;18,0;16,2;999,6;999,6;998,9;2,4;193,0;6,0;414,36;0,0;
04/01/2009;1200;24,0;24,0;22,5;67,0;73,0;66,0;17,4;17,6;16,3;999,7;999,8;999,6;1,4;218,0;5,2;945,06;0,0;
04/01/2009;1300;25,3;25,6;23,9;56,0;67,0;55,0;15,8;17,4;15,2;1000,0;1000,0;999,7;2,8;213,0;5,7;2264,67;0,0;
04/01/2009;1400;24,8;26,1;24,8;56,0;58,0;51,0;15,5;16,6;14,2;999,8;1000,0;999,8;3,5;229,0;8,2;1994,46;0,0;
04/01/2009;1500;26,3;26,7;24,7;49,0;61,0;48,0;14,6;17,2;14,6;999,2;999,8;999,2;3,6;221,0;8,4;2977,08;0,0;
04/01/2009;1600;27,5;27,6;26,3;44,0;50,0;34,0;14,3;15,4;10,0;998,6;999,2;998,5;3,6;207,0;8,8;3347,37;0,0;
04/01/2009;1700;27,6;28,1;26,9;43,0;47,0;40,0;14,0;14,9;12,3;998,1;998,6;998,1;4,4;225,0;12,7;3562,61;0,0;
04/01/2009;1800;27,5;28,4;27,1;39,0;45,0;39,0;12,5;14,5;12,5;997,6;998,1;997,6;4,7;219,0;12,7;3546,73;0,0;
04/01/2009;1900;28,8;28,8;27,4;40,0;42,0;37,0;13,8;13,8;11,9;997,1;997,7;997,1;3,3;206,0;10,0;2838,20;0,0;
04/01/2009;2000;28,0;28,9;27,7;39,0;40,0;37,0;12,9;13,4;11,9;996,5;997,1;996,5;3,9;199,0;9,2;2373,88;0,0;
04/01/2009;2100;27,4;28,3;27,4;41,0;41,0;37,0;13,1;13,1;11,8;996,3;996,5;996,3;3,7;195,0;11,3;1558,27;0,0;
04/01/2009;2200;26,5;27,7;26,5;44,0;44,0;41,0;13,2;13,6;12,8;996,4;996,4;996,2;2,8;186,0;7,9;647,10;0,0;
04/01/2009;2300;25,5;26,5;25,5;47,0;47,0;43,0;13,3;13,3;12,7;997,0;997,0;996,4;2,2;170,0;5,3;29,33;0,0;
05/01/2009;0000;24,9;25,5;24,7;50,0;51,0;46,0;13,8;14,0;13,2;997,6;997,6;997,0;1,9;179,0;4,4;;0,0;
05/01/2009;0100;25,1;25,2;24,2;46,0;52,0;46,0;12,8;14,0;12,6;998,3;998,3;997,5;2,6;181,0;6,0;;0,0;
05/01/2009;0200;24,8;25,1;24,4;47,0;48,0;46,0;12,6;12,8;12,5;998,9;998,9;998,3;2,4;168,0;5,2;;0,0;
05/01/2009;0300;22,8;24,9;22,8;59,0;60,0;46,0;14,4;15,1;12,3;998,8;998,9;998,8;1,3;179,0;6,4;;0,0;
