Campo,Valor,Porcentagem do Total de Focos
2014/12/29 - 2015/01/04,22,0.07%
2015/01/05 - 2015/01/11,162,0.52%
2015/01/12 - 2015/01/18,403,1.30%
2015/01/19 - 2015/01/25,382,1.23%
2015/01/26 - 2015/02/01,74,0.24%
2015/02/02 - 2015/02/08,444,1.43%
2015/02/09 - 2015/02/15,36,0.12%
2015/02/23 - 2015/03/01,87,0.28%
2015/03/02 - 2015/03/08,6,0.02%
2015/03/09 - 2015/03/15,58,0.19%
2015/03/16 - 2015/03/22,144,0.47%
2015/03/23 - 2015/03/29,45,0.15%
2015/03/30 - 2015/04/05,6,0.02%
2015/04/06 - 2015/04/12,52,0.17%
2015/04/13 - 2015/04/19,37,0.12%
2015/04/20 - 2015/04/26,44,0.14%
2015/04/27 - 2015/05/03,163,0.53%
2015/05/04 - 2015/05/10,47,0.15%
2015/05/11 - 2015/05/17,78,0.25%
2015/05/18 - 2015/05/24,155,0.50%
2015/05/25 - 2015/05/31,73,0.24%
2015/06/01 - 2015/06/07,335,1.08%
2015/06/08 - 2015/06/14,363,1.17%
2015/06/15 - 2015/06/21,138,0.45%
2015/06/22 - 2015/06/28,539,1.74%
2015/06/29 - 2015/07/05,78,0.25%
2015/07/06 - 2015/07/12,128,0.41%
2015/07/13 - 2015/07/19,209,0.68%
2015/07/20 - 2015/07/26,247,0.80%
2015/07/27 - 2015/08/02,1213,3.92%
2015/08/03 - 2015/08/09,1710,5.52%
2015/08/10 - 2015/08/16,1360,4.39%
2015/08/17 - 2015/08/23,2304,7.44%
2015/08/24 - 2015/08/30,1523,4.92%
2015/08/31 - 2015/09/06,3160,10.21%
2015/09/07 - 2015/09/13,1443,4.66%
2015/09/14 - 2015/09/20,1721,5.56%
2015/09/21 - 2015/09/27,2727,8.81%
2015/09/28 - 2015/10/04,149,0.48%
2015/10/05 - 2015/10/11,379,1.22%
2015/10/12 - 2015/10/18,1096,3.54%
2015/10/19 - 2015/10/25,1573,5.08%
2015/10/26 - 2015/11/01,181,0.58%
2015/11/02 - 2015/11/08,98,0.32%
2015/11/09 - 2015/11/15,1135,3.67%
2015/11/16 - 2015/11/22,348,1.12%
2015/11/23 - 2015/11/29,612,1.98%
2015/11/30 - 2015/12/06,386,1.25%
2015/12/07 - 2015/12/13,648,2.09%
2015/12/14 - 2015/12/20,1652,5.34%
2015/12/21 - 2015/12/27,616,1.99%
2015/12/28 - 2016/01/03,362,1.17%
